ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,INDIRIZZO,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale,geo_x,geo_y
6245,BS,17125,ORZINUOVI,IITALMARK  SPA,"Via Adua, 35",,1800,1607,3407,45.4106785002,9.9340076471
2396,MB,108024,GIUSSANO,SSC SOCIETA' SVILUPPO COMMERCIALE SRL,"Via Prealpi, 41",,3859,10606,14465,45.6899558768,9.2120038528
3808,MB,108044,USMATE VELATE,RIALTO SRL,Localita Cascina Corrada,,2628,1955,4583,45.6408057869,9.368238723
3040,MN,20045,PORTO MANTOVANO,SQUASSABIA GROUP,"Str.  Cisa, 137",C,0,2900,2900,45.2120084287,10.7959259101
11025,MN,20045,PORTO MANTOVANO,PORTO MANTOVANO SCARPE SRL,"Via Karl Marx, 2",A,0,2514,2514,45.2142720637,10.7965868583
2424,BS,17179,SIRMIONE,SQUASSABIA GROUP,Via Brescia 58,C,0,1700,1700,45.4633748511,10.5991917726
5327,BG,16003,ALBANO SANT'ALESSANDRO,AWG OUTLETS BERGAMO S.R.L.,"Via Tonale, 101",,2658,13342,16000,45.6843392738,9.7872444651
8495,SO,14045,MORBEGNO,PEZZINI SPA,Viale Stelvio 300,C,0,3627,3627,46.1374579274,9.5945790924
870,BG,16042,BRUSAPORTO,BARCELLA ARREDAMENTI SAS,"Via Bagnatica, 13",C,0,2350,2350,45.6686050239,9.7676567134
1049,BS,17042,CASTEL MELLA,GOITO SUPERMERCATI SRL,Via Della Fornace - Loc. Colorne,,1500,600,2100,45.4890541429,10.1493751583
12599,MI,15189,ROZZANO,FIORDALISO SPA,Corso S. Pertini 10/14,,212,11736,11948,45.3900324369,9.1775355372
5365,MI,15167,PANTIGLIATE,ESSELUNGA SPA,"Strada Vecchia Paullese, 15",D,2300,2200,4500,45.4286531004,9.3696799014
11529,MI,15205,SEGRATE,WESTFIELD - EX I.B.P. S.R.L.,Area Ex Dogana Segrate,,15000,115000,130000,45.4633481731,9.2736386855
1093,BS,17107,MAZZANO,AUCHAN SPA - GALLERIE COMMERCIALE SPA,Via De Gasperi 6,,5200,13669,18869,45.5015004556,10.3495552425
13644,VA,12136,VENEGONO INFERIORE,TONAZZO SRL,Via D.Chiesa,C,0,10658,10658,45.7294046684,8.8864949682
6073,VA,12133,VARESE,CERESIO SRL,Via Gasparotto,C,0,4120,4120,45.792484026,8.8302253614
13116,BS,17181,SONICO,PASQUINI GIOVANNI PAOLO,Via Nazionale 36,C,0,1638,1638,46.1668146375,10.3498530076
3483,MI,15118,LEGNANO,OBI ITALIA SRL,"Ss Saronnese, 26",D,0,5700,5700,45.6085489108,8.9215558381
3135,BS,17065,DARFO BOARIO TERME,SERMARK SPA,"Via Nazionale, 43",,4979,13585,18564,45.8722543077,10.1547750226
3692,SO,14015,CASTIONE ANDEVENNO,S.C. EVOLUTION,"Via Nazionale, 29",,3061,9607,12668,46.1625694101,9.8067784992
5534,LO,98045,PIEVE FISSIRAGA,BENNET SPA,"Viale Nazioni Unite, 1",,3500,14700,18200,45.2755265058,9.4572621262
10889,LC,97012,CALCO,ESSELUNGA SPA,Sp 342 Dir. Via Nazionale Ang. Via Scagnello,,1850,830,2680,45.7171183354,9.4073469386
10226,MI,15146,MILANO,GIOVANNI VILLA SRL,Viale Ornato N. 169 Angolo Via Del Regno Italico,,2500,1780,4280,45.5271555395,9.1916986812
5500,MI,15175,PIOLTELLO,ESSELUNGA SPA,"Via S. Francesco, 30",,2940,1965,4905,45.5029559063,9.3220603503
4049,CO,13242,VERTEMATE CON MINOPRIO,LA RINASCENTE SPA,"Via S.S. Dei Giovi, 9/B",D,0,3500,3500,45.7167185918,9.07420805
2414,MI,15182,RHO,ESSELUNGA SPA,Corso Europa Angolo Via Di Giacomo,,2790,1410,4200,45.5388305535,9.0167393294
4297,MB,108051,BUSNAGO,MERCURIO,"Via Italia, 197",,5736,29004,34740,45.6207916142,9.4739648254
14807,BG,16150,ORIO AL SERIO,ECH ITALIA 1 SRL,Via Portico,,0,6463,6463,45.6642223188,9.6949268121
12881,MI,15195,SAN GIULIANO MILANESE,IKEA ITALIA RETAIL S.R.L.,Via Po 1/3/5,,250,21750,22000,45.3898112075,9.2599635647
2415,MI,15182,RHO,RHOCENTER,Via Capuana Ang Corso Europa,,0,9438,9438,45.536921882,9.019267872
3646,BG,16198,SERIATE,LEROY MERLIN ITALIA SRL,"Via Cassinone, Snc",D,0,10000,10000,45.6579203311,9.7397242982
10892,LO,98019,CODOGNO,MAXI DI SRL,Viale  Marconi 36,,1950,1500,3450,45.1608668812,9.7187812944
11470,VA,12121,SOLBIATE ARNO,TIGROS SPA,Via Del Lavoro N. 45,,1950,2050,4000,45.7192176005,8.8101569251
6716,BS,17043,CASTENEDOLO,SMA S.P.A.,Via Brescia N. 65-67,,1990,1329,3319,45.4852040029,10.27988792
8813,MI,15195,SAN GIULIANO MILANESE,G.M.S. SRL FIN GRANCASA,Via Tolstoy 85,,0,14445,14445,45.3796265709,9.3059580391
796,VA,12026,BUSTO ARSIZIO,CENTRO COMMERCIALE TICINO,Via Delle Allodole,,2320,930,3250,45.6042650042,8.8182715919
3666,VA,12042,CASTELLANZA,GRANDI MAGAZZINI E SUPERMERCATI IL GIGANTE S.P.A.,Via Diaz 7,,4695,2012,6707,45.6066330176,8.8994890305
